time,x,y,z,gforce
0.061,0.35,-0.01,-0.10
0.072,0.08,-0.02,-0.43
0.073,-0.12,0.02,-0.17
0.074,0.14,-0.03,-0.08
0.090,0.16,-0.03,-0.19
0.096,0.06,-0.02,-0.29
0.165,-0.03,0.04,-0.24
0.166,0.04,-0.00,-0.15
0.166,0.09,-0.02,-0.19
0.230,0.07,-0.00,-0.25
0.232,0.02,-0.02,-0.21
0.245,0.07,-0.00,-0.16
0.248,0.06,-0.02,-0.16
0.271,0.03,-0.01,-0.20
0.291,0.01,-0.03,-0.21
0.313,0.01,-0.03,-0.23
0.331,0.03,-0.03,-0.13
0.354,0.05,-0.02,-0.15
0.367,0.02,-0.02,-0.23
0.395,0.03,0.01,-0.19
0.410,0.03,0.01,-0.17
0.427,-0.02,-0.02,-0.21
0.450,0.02,0.04,-0.13
0.483,-0.01,0.01,-0.23
0.486,0.02,0.01,-0.17
0.511,0.09,-0.02,-0.13
0.548,0.02,-0.00,-0.16
0.560,0.03,-0.02,-0.21
0.579,0.03,-0.02,-0.20
0.607,0.03,-0.02,-0.23
0.640,0.02,-0.02,-0.17
0.678,0.03,-0.00,-0.16
0.710,0.03,-0.02,-0.21
0.727,0.03,-0.03,-0.24
0.777,-0.01,0.01,-0.20
0.792,-0.08,-0.00,-0.16
0.802,0.00,0.02,-0.17
0.803,0.02,0.01,-0.16
0.821,0.03,0.01,-0.21
0.873,0.06,0.01,-0.24
0.886,0.03,-0.01,-0.23
0.905,-0.09,-0.01,-0.23
0.918,-0.02,0.00,-0.20
0.934,-0.06,0.02,-0.19
0.945,0.05,0.06,-0.13
0.972,0.05,0.02,-0.23
0.982,0.02,0.02,-0.23
1.005,0.01,-0.01,-0.16
1.030,0.02,-0.01,-0.16
1.047,0.03,0.01,-0.16
1.115,0.05,-0.00,-0.17
1.134,0.05,-0.00,-0.16
1.138,0.03,0.00,-0.20
1.141,0.01,0.03,-0.19
1.158,0.02,0.03,-0.16
1.195,-0.03,0.00,-0.20
1.220,-0.02,-0.00,-0.13
1.229,0.10,-0.00,-0.22
1.241,0.05,0.00,-0.20
1.290,-0.02,0.00,-0.23
1.292,-0.04,0.00,-0.24
1.301,0.07,-0.01,-0.26
1.317,0.08,0.00,-0.20
1.349,-0.05,0.05,-0.16
1.421,-0.16,-0.06,-0.23
1.444,0.05,-0.06,-0.26
1.446,0.13,0.00,-0.13
1.460,-0.01,0.01,-0.22
1.496,-0.05,0.02,-0.23
1.512,-0.05,0.01,-0.28
1.513,0.00,0.01,-0.23
1.538,0.03,0.01,-0.23
1.555,0.06,0.01,-0.17
1.577,0.06,0.01,-0.13
1.589,0.03,0.01,-0.16
1.602,0.00,0.01,-0.17
1.626,-0.04,0.01,-0.30
1.649,-0.05,0.01,-0.23
1.674,0.00,0.01,-0.28
1.686,0.00,0.02,-0.16
1.711,0.06,0.02,-0.20
1.730,0.06,0.03,-0.24
1.746,0.03,0.01,-0.23
1.768,0.06,0.01,-0.20
1.792,-0.01,0.01,-0.19
1.825,0.02,0.01,-0.23
1.847,0.02,0.01,-0.20
1.867,0.02,0.00,-0.23
1.895,0.00,0.00,-0.23
1.939,0.06,0.00,-0.16
1.954,0.09,0.00,-0.13
1.955,0.03,0.06,-0.13
1.971,-0.05,0.03,-0.20
2.041,-0.09,0.03,-0.15
2.042,0.05,0.03,-0.16
2.043,0.06,0.01,-0.16
2.080,-0.01,0.02,-0.23
2.110,-0.05,-0.01,-0.23
2.122,-0.05,0.01,-0.28
2.123,-0.01,0.01,-0.22
2.284,0.00,0.02,-0.12
2.286,0.00,0.01,-0.20
2.287,-0.02,-0.01,-0.22
2.288,0.03,-0.02,-0.23
2.301,0.03,-0.01,-0.11
2.303,-0.02,0.02,-0.13
2.304,-0.02,0.02,-0.19
2.310,-0.02,0.00,-0.26
2.328,0.01,0.02,-0.20
2.331,0.03,0.01,-0.27
2.378,0.05,-0.01,-0.20
2.382,0.03,-0.01,-0.23
2.385,0.00,-0.01,-0.23
2.412,0.00,0.02,-0.17
2.429,0.00,-0.02,-0.12
2.450,0.00,-0.01,-0.26
2.492,0.00,0.02,-0.17
2.494,0.00,-0.01,-0.22
2.518,0.02,-0.01,-0.23
2.534,0.02,0.02,-0.27
2.562,0.03,0.00,-0.19
2.576,0.03,0.00,-0.17
2.609,-0.01,-0.02,-0.20
2.636,-0.02,-0.01,-0.19
2.652,-0.03,0.02,-0.20
2.669,-0.02,-0.01,-0.12
2.698,0.03,-0.01,-0.15
2.710,0.03,-0.01,-0.17
2.741,0.01,-0.01,-0.11
2.755,0.01,-0.01,-0.30
2.784,-0.00,-0.02,-0.13
2.806,-0.02,-0.02,-0.17
2.819,0.02,0.02,-0.05
2.851,0.03,0.02,-0.16
2.881,0.05,-0.02,-0.16
2.892,-0.02,0.00,-0.17
2.907,-0.03,-0.02,-0.22
2.939,-0.03,-0.01,-0.22
2.956,0.01,-0.01,-0.22
2.994,0.02,-0.01,-0.24
3.005,0.02,-0.02,-0.13
3.049,0.02,-0.05,-0.23
3.061,-0.00,0.02,-0.12
3.074,-0.00,0.03,-0.15
3.124,-0.03,0.01,-0.17
3.137,0.04,-0.01,-0.13
3.148,-0.00,-0.01,-0.11
3.158,0.01,-0.01,-0.19
3.171,-0.00,0.05,-0.19
3.211,0.03,0.00,-0.17
3.222,0.01,0.02,-0.16
3.250,-0.00,0.02,-0.16
3.283,0.01,-0.01,-0.19
3.293,0.05,0.02,-0.17
3.307,0.02,-0.01,-0.23
3.333,-0.00,-0.01,-0.16
3.353,-0.02,0.02,-0.23
3.373,-0.02,0.01,-0.20
3.444,0.01,-0.02,-0.22
3.482,0.01,0.02,-0.26
3.485,0.01,-0.01,-0.13
3.485,0.04,0.02,-0.16
3.494,0.02,-0.01,-0.17
3.520,-0.02,0.00,-0.16
3.530,0.01,0.00,-0.20
3.550,0.01,-0.01,-0.20
3.573,0.01,-0.01,-0.17
3.592,-0.02,-0.01,-0.15
3.634,0.02,0.02,-0.23
3.635,0.02,-0.01,-0.20
3.657,-0.02,0.00,-0.26
3.674,0.01,0.02,-0.16
3.707,0.03,0.00,-0.17
3.739,-0.04,0.02,-0.26
3.746,0.02,0.02,-0.28
3.774,-0.05,0.00,-0.11
3.803,-0.02,-0.02,-0.24
3.815,-0.01,-0.01,-0.24
3.838,0.00,-0.03,-0.16
3.858,0.07,-0.01,-0.17
3.891,0.03,0.01,-0.20
3.909,-0.04,0.03,-0.27
3.958,0.00,0.01,-0.20
3.981,0.00,0.01,-0.20
3.983,0.02,0.01,-0.22
4.011,-0.00,-0.02,-0.27
4.027,-0.03,-0.02,-0.20
4.028,-0.01,-0.02,-0.20
4.072,0.00,-0.02,-0.23
4.086,0.01,0.02,-0.13
4.100,0.00,-0.01,-0.23
4.130,0.04,-0.01,-0.15
4.143,0.04,-0.02,-0.20
4.165,0.01,0.01,-0.22
4.177,-0.03,-0.01,-0.23
4.205,0.00,0.01,-0.16
4.216,0.00,-0.01,-0.20
